suite,phase,value_bytes,clients,variant,samples,ops_per_second,logical_gib_s,physical_gib_s,cpu_cores,cpu_us_per_op,seconds,p50_us,p99_us,p999_us,min_ops_per_second,max_ops_per_second
main,read,1024,2560,kernel_split,1,14395216.80516211,13.728348546182737,54.91339418473095,19.998152840210782,1.3892220666686634,5.000336221,164.095,251.263,268.287,14395216.80516211,14395216.80516211
main,read,1024,2560,no_defer_taskrun,1,14106450.555623066,13.452959590552393,53.81183836220957,19.99832244872522,1.4176721755674786,5.00038367,165.759,253.439,270.079,14106450.555623066,14106450.555623066
main,read,1024,2560,no_huge_pages,1,14418260.160905354,13.750324402718881,55.001297610875525,19.99867237311444,1.3870378360448923,5.00035068,163.711,250.879,267.519,14418260.160905354,14418260.160905354
main,read,1024,2560,no_registered_buffers,1,13558031.707836596,12.929946620785328,51.71978648314131,19.99892095836689,1.4750607897463048,5.000307527,177.279,270.335,282.623,13558031.707836596,13558031.707836596
main,read,1024,2560,no_registered_files,1,14236571.102930862,13.577052214556563,54.30820885822625,19.99864467696422,1.4047374562577872,5.000328203,166.271,254.591,270.335,14236571.102930862,14236571.102930862
main,read,1024,2560,reuse_encoded_metadata,1,14421290.84527552,13.753214688563842,55.01285875425537,19.998834895795774,1.3867576148599403,5.000290943,163.327,250.495,268.799,14421290.84527552,14421290.84527552
main,read,1024,2560,single_reap,1,14370143.66050139,13.70443693208827,54.81774772835308,19.99851927280998,1.3916714923163271,5.000340407,164.351,251.647,268.543,14370143.66050139,14370143.66050139
main,read,4096,160,baseline,2,2508852.364138036,9.570512253334183,19.141024506668366,19.998861320504822,7.97131852253489,5.000264535,61.503,96.799,115.071,2508850.3713742727,2508854.3569017993
main,read,4096,160,kernel_split,1,2509016.586993922,9.571138713813484,19.14227742762697,19.99893589634092,7.970826498322135,5.000245939,61.471,96.831,115.071,2509016.586993922,2509016.586993922
main,read,4096,160,no_defer_taskrun,1,2502995.4994602245,9.5481700876626,19.0963401753252,19.99886982434316,7.989974344203158,5.00028466,61.663,96.895,115.519,2502995.4994602245,2502995.4994602245
main,read,4096,160,no_huge_pages,1,2508962.793665388,9.570933508550217,19.141867017100434,19.998818768168157,7.970950712645495,5.000220821,61.471,96.831,115.199,2508962.793665388,2508962.793665388
main,read,4096,160,no_registered_buffers,1,2506311.9939934555,9.560821510289976,19.121643020579953,19.999051968854076,7.979474230176907,5.000215468,61.567,96.831,115.199,2506311.9939934555,2506311.9939934555
main,read,4096,160,no_registered_files,1,2506809.921099785,9.562720951460971,19.125441902921942,19.998761771167203,7.977773505217887,5.000287375,61.535,96.895,115.711,2506809.921099785,2506809.921099785
main,read,4096,160,reuse_encoded_metadata,1,2509620.8868054077,9.573443934651976,19.146887869303953,19.9990330592665,7.9689458931480415,5.000203045,61.471,96.767,115.135,2509620.8868054077,2509620.8868054077
main,read,4096,160,single_reap,1,2508619.3324899953,9.569623308143598,19.139246616287195,19.998847507246268,7.972053491031616,5.000274389,61.471,96.831,115.199,2508619.3324899953,2508619.3324899953
main,read,4096,640,baseline,6,8696648.76868945,33.17508227802067,66.35016455604134,19.998190884032795,2.29952846949148,5.0004099705,69.951,123.711,157.951,8691218.331838137,8703651.032456478
main,read,4096,640,kernel_split,3,8689880.59641586,33.14926374975533,66.29852749951066,19.998146985130184,2.301279130220079,5.000436832,70.015,123.775,158.079,8683420.016063346,8700386.87893702
main,read,4096,640,no_defer_taskrun,3,8577888.611772439,32.72204823216415,65.4440964643283,19.99823367483665,2.3313701751023834,5.000394407,70.911,124.607,158.719,8575754.332492197,8582373.320640504
main,read,4096,640,no_huge_pages,3,8693476.00434731,33.16297914256023,66.32595828512046,19.998347079509852,2.300385607495709,5.000373611,70.015,123.711,157.951,8688274.73918039,8704729.603802431
main,read,4096,640,no_registered_buffers,3,8831954.241018696,33.69123169333914,67.38246338667828,19.997828975025847,2.264187074108587,5.000366246,68.927,122.559,157.311,8827264.809914486,8833160.303355103
main,read,4096,640,no_registered_files,3,8675820.172035774,33.095627487319085,66.19125497463817,19.998333280224294,2.3050654443811163,5.000399819,70.143,123.903,158.079,8673474.734501747,8682131.943737676
main,read,4096,640,reuse_encoded_metadata,3,8692165.955746321,33.157981703744206,66.31596340748841,19.998270167097186,2.300723463968896,5.000405129,70.015,123.775,157.951,8677079.589708814,8709158.733446296
main,read,4096,640,single_reap,3,8688526.917267436,33.1440998736093,66.2881997472186,19.998342700763477,2.3016954302137336,5.000366436,70.015,123.775,158.079,8687219.198733306,8697398.991980596
main,read,4096,2560,baseline,2,9939907.936380927,37.91773962547656,75.83547925095311,19.998363935497025,2.011934136070927,5.000449778,263.551,327.039,423.807,9920493.461373108,9959322.411388747
main,read,4096,2560,kernel_split,1,9994518.794016263,38.12606351477151,76.25212702954302,19.998366502974108,2.0009334031116306,5.000474363,261.887,323.839,420.607,9994518.794016263,9994518.794016263
main,read,4096,2560,no_defer_taskrun,1,9843488.771469798,37.54992970073623,75.09985940147246,19.99831260153076,2.0316285278339046,5.000490491,262.655,329.983,422.655,9843488.771469798,9843488.771469798
main,read,4096,2560,no_huge_pages,1,9976927.279520005,38.05895721252443,76.11791442504887,19.99849596773445,2.0044744646767225,5.00042464,262.399,325.119,421.375,9976927.279520005,9976927.279520005
main,read,4096,2560,no_registered_buffers,1,12177810.486334756,46.454660363520645,92.90932072704129,19.99817520233035,1.6421815091285223,5.00044479,197.247,303.103,325.631,12177810.486334756,12177810.486334756
main,read,4096,2560,no_registered_files,1,9937893.769667901,37.910056189223866,75.82011237844773,19.998268941094075,2.012324684143043,5.000465305,262.655,325.375,422.143,9937893.769667901,9937893.769667901
main,read,4096,2560,reuse_encoded_metadata,1,9966884.576480977,38.02064734070197,76.04129468140394,19.998452780508035,2.0064898541815883,5.000415287,262.655,324.863,421.887,9966884.576480977,9966884.576480977
main,read,4096,2560,single_reap,1,9987467.66221585,38.09916558157291,76.19833116314582,19.998345308620518,2.0023439359185495,5.000473262,262.399,323.583,421.375,9987467.66221585,9987467.66221585
main,read,65536,160,baseline,2,1111705.9183041796,67.85314442774533,72.09396595447942,19.998491286754554,17.989012688226744,5.000473064,140.607,264.447,392.95899999999995,1111516.7422511897,1111895.0943571695
main,read,65536,160,kernel_split,1,1113305.0214532663,67.95074593830971,72.19766755945406,19.9983179205673,17.963017803029626,5.000453508,140.415,263.167,379.391,1113305.0214532663,1113305.0214532663
main,read,65536,160,no_defer_taskrun,1,1111329.2634566962,67.83015524027687,72.06953994279418,19.998750361129527,17.99534217152268,5.000404635,140.671,264.447,386.303,1111329.2634566962,1111329.2634566962
main,read,65536,160,no_huge_pages,1,1114556.4073176214,68.02712447006967,72.27881974944901,19.998592805449054,17.943096171847625,5.000431529,140.415,260.991,364.287,1114556.4073176214,1114556.4073176214
main,read,65536,160,no_registered_buffers,1,1114418.0464656455,68.01867959385044,72.26984706846609,19.9949495619612,17.94205471221036,5.00138796,140.287,263.679,392.959,1114418.0464656455,1114418.0464656455
main,read,65536,160,no_registered_files,1,1112716.6751245097,67.91483612820494,72.15951338621775,19.998359046238463,17.97255266620382,5.00050653,140.543,263.423,381.695,1112716.6751245097,1112716.6751245097
main,read,65536,160,reuse_encoded_metadata,1,1113962.7496910908,67.99089048407536,72.24032113933008,19.998811617292557,17.952854907256423,5.000392519,140.287,262.399,374.271,1113962.7496910908,1113962.7496910908
main,read,65536,160,single_reap,1,1113826.0571842995,67.98254743556515,72.23145665028798,19.998568595635586,17.954839956061935,5.000473785,140.415,261.631,371.455,1113826.0571842995,1113826.0571842995
main,read,65536,640,baseline,6,3058987.609582967,186.7057867177104,198.37489838756733,19.997440655064835,6.53694320625846,5.0008225665,183.423,556.799,853.503,3053503.0285390294,3068087.4659659714
main,read,65536,640,kernel_split,3,3050223.154282678,186.1708468190111,197.8065247451993,19.997387505776214,6.554935144594252,5.000807229,183.551,563.199,898.047,3050160.297836618,3069881.594061378
main,read,65536,640,no_defer_taskrun,3,3053486.6248970754,186.37003325787813,198.01816033649553,19.99827863329075,6.549188203237443,5.000689251,183.679,560.127,868.351,3047774.663653061,3067647.9333238853
main,read,65536,640,no_huge_pages,3,3055792.427732017,186.51076829419048,198.1676913125774,19.99629017061954,6.543733137482973,5.001130267,183.551,559.103,861.695,3052264.8898030305,3072095.2372620665
main,read,65536,640,no_registered_buffers,3,3059908.60092314,186.76199956806275,198.43462454106668,19.997807383411725,6.535500108387548,5.000663417,182.911,564.735,886.783,3056615.389524349,3078907.2793097747
main,read,65536,640,no_registered_files,3,3057617.533262472,186.62216389541456,198.28604913887796,19.99783442973911,6.5393701963930795,5.000789028,183.423,558.591,857.087,3056127.925898977,3069775.885373044
main,read,65536,640,reuse_encoded_metadata,3,3053380.9672270534,186.36358442547933,198.0113084520718,19.995167044904793,6.548533333874654,5.001428634,183.423,561.151,873.983,3050020.1150385304,3071222.587810143
main,read,65536,640,single_reap,3,3053905.5182651808,186.39560048005254,198.04532551005582,19.998147062164033,6.547239601835294,5.000675047,183.551,561.151,879.615,3052939.3123946697,3072084.8396690474
main,read,65536,2560,baseline,2,3587799.8025467712,218.98192154216133,232.6682916385464,19.99184767211901,5.572174807194797,5.003092166,453.375,3675.135,5978.111,3587500.9691927903,3588098.6359007517
main,read,65536,2560,kernel_split,1,3589384.5926045473,219.07864945096114,232.7710650416462,19.996193196319915,5.570925232564777,5.002159712,451.839,3684.351,5988.351,3589384.5926045473,3589384.5926045473
main,read,65536,2560,no_defer_taskrun,1,3587723.6221155236,218.97727185763694,232.66335134873924,19.995592852953035,5.573337012275909,5.002388113,453.631,3672.063,5943.295,3587723.6221155236,3587723.6221155236
main,read,65536,2560,no_huge_pages,1,3584301.486987067,218.76840130536297,232.44142638694814,19.99473670612894,5.578419331833702,5.00241876,453.375,3680.255,5984.255,3584301.486987067,3584301.486987067
main,read,65536,2560,no_registered_buffers,1,3591555.2568508764,219.21113628240212,232.91183230005225,19.996116230549415,5.567536846998778,5.002227925,451.071,3700.735,6029.311,3591555.2568508764,3591555.2568508764
main,read,65536,2560,no_registered_files,1,3589001.9997403612,219.0552978357154,232.74625395044762,19.995178551548843,5.57123639189818,5.002558929,453.375,3667.967,5976.063,3589001.9997403612,3589001.9997403612
main,read,65536,2560,reuse_encoded_metadata,1,3588938.373592119,219.05141440381587,232.74212780405438,19.99492512404056,5.571264547523538,5.002545915,453.375,3670.015,5971.967,3588938.373592119,3588938.373592119
main,read,65536,2560,single_reap,1,3588794.548910626,219.04263604190834,232.7328007945276,19.995675365284697,5.571696872799351,5.002262948,454.143,3651.583,5922.815,3588794.548910626,3588794.548910626
main,read,4194304,160,baseline,2,59296.31487396188,231.62622997641358,231.85242746662493,19.996189457605013,337.22483136282176,5.0022838714999995,2640.895,4718.591,5787.647,59289.08336642396,59303.54638149979
main,read,4194304,160,kernel_split,1,55618.175617394205,217.2584985054461,217.47066500789285,19.96319917293404,358.93300978198005,5.005000558,2717.695,6156.287,7360.511,55618.175617394205,55618.175617394205
main,read,4194304,160,no_defer_taskrun,1,59311.98250224552,231.68743164939656,231.91368890686667,19.99617639774686,337.1355256417169,5.002429315,2643.967,4669.439,5607.423,59311.98250224552,59311.98250224552
main,read,4194304,160,no_huge_pages,1,59304.20230520248,231.6570402546972,231.8832678330709,19.995247156205046,337.1640858315863,5.002579724,2635.775,4759.551,6135.807,59304.20230520248,59304.20230520248
main,read,4194304,160,no_registered_buffers,1,59341.75811511552,231.80374263717,232.0301134795891,19.995872332967135,336.96123889989354,5.002278487,2635.775,4759.551,5984.255,59341.75811511552,59341.75811511552
main,read,4194304,160,no_registered_files,1,59295.011488321514,231.6211386262559,231.84733114444563,19.99652214750592,337.2378492825547,5.002242053,2637.823,4796.415,6168.575,59295.011488321514,59295.011488321514
main,read,4194304,160,reuse_encoded_metadata,1,59325.55679920351,231.7404562468887,231.9667652861923,19.996546506611825,337.0646241769499,5.002262364,2639.871,4714.495,5849.087,59325.55679920351,59325.55679920351
main,read,4194304,160,single_reap,1,59314.085944129656,231.69564821925647,231.9219135007206,19.99610537173546,337.12237242550793,5.002336212,2643.967,4657.151,5545.983,59314.085944129656,59314.085944129656
main,read,4194304,640,baseline,6,59616.202690233076,232.87579175872295,233.10320952411234,19.994169839215115,335.3954588132556,5.0077878590000005,10280.959,18759.679,23920.639,59599.1966871446,59619.02105935618
main,read,4194304,640,kernel_split,3,58860.878736886654,229.9253075659635,230.1498439991334,19.96928498641353,339.52727223338945,5.009083799,10289.151,21037.055,26329.087,58795.58254920702,58867.97054958966
main,read,4194304,640,no_defer_taskrun,3,59605.79486679874,232.83513619843256,233.06251426112635,19.993336799836,335.43115762391625,5.008036562,10289.151,18530.303,23363.583,59598.153905209096,59616.1855496227
