suite,run,order,round,variant,devices,key_bytes,value_bytes,clients,operations,seconds,ops_per_second,logical_gib_s,physical_read_bytes,physical_gib_s,physical_reads,physical_iops,read_amplification,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,min_disk_iops,max_disk_iops
main,ablate-r1-no_registered_files-v2-d20-k16-v4096,25,1,no_registered_files,20,16,4096,160,12534770,5.000287375,2506809.921099785,9.562720951460971,102684835840,19.125441902921942,12534768,2506809.5211227736,2.0,61.535,96.895,115.711,19.998761771167203,99.99955600000001,7.977773505217887,11316.5546875,124317.05487727093,125713.17463528784
main,ablate-r1-no_registered_files-v2-d20-k16-v4096,25,1,no_registered_files,20,16,4096,640,43414131,5.000399819,8682131.943737676,33.11970498557158,355648561152,66.23940997114316,43413901,8682085.947415719,2.0,70.079,123.839,158.335,19.998369254400615,99.999842,2.30339384197279,11316.5546875,424400.26334222214,451699.0804250727
main,ablate-r1-no_registered_files-v2-d20-k16-v4096,25,1,no_registered_files,20,16,4096,2560,49694093,5.000465305,9937893.769667901,37.910056189223866,407094009856,75.82011237844773,49693346,9937744.38356992,2.0,262.655,325.375,422.143,19.998268941094075,100.00065000000001,2.012324684143043,11316.5546875,437392.89577972586,726652.5769845333
main,ablate-r1-no_huge_pages-v2-d20-k16-v4096,26,1,no_huge_pages,20,16,4096,160,12545368,5.000220821,2508962.793665388,9.570933508550217,102771654656,19.141867017100434,12545368,2508962.793665388,2.0,61.471,96.831,115.199,19.998818768168157,99.99850999999998,7.970950712645495,11326.546875,125081.87585901818,125740.64676492814
main,ablate-r1-no_huge_pages-v2-d20-k16-v4096,26,1,no_huge_pages,20,16,4096,640,43526590,5.000337975,8704729.603802431,33.205908217630125,356569825280,66.41181643526025,43526344,8704680.40712788,2.0,69.887,123.647,157.951,19.998521999905414,99.99936899999999,2.297431730810982,11326.546875,427410.3092001496,452977.98095337744
main,ablate-r1-no_huge_pages-v2-d20-k16-v4096,26,1,no_huge_pages,20,16,4096,2560,49888873,5.00042464,9976927.279520005,38.05895721252443,408689647616,76.11791442504887,49888120,9976776.692309074,2.0,262.399,325.119,421.375,19.99849596773445,100.00097199999999,2.0044744646767225,11326.546875,439565.0686178524,732688.3742417523
main,ablate-r1-control_after-v2-d20-k16-v4096,27,1,control_after,20,16,4096,160,12544998,5.000289461,2508854.3569017993,9.570519855124662,102768623616,19.141039710249323,12544998,2508854.3569017993,2.0,61.503,96.767,115.071,19.99880902494817,99.99983400000002,7.9712913465590045,11316.8203125,125101.95757245182,125738.72070883297
main,ablate-r1-control_after-v2-d20-k16-v4096,27,1,control_after,20,16,4096,640,43521570,5.000380856,8703651.032456478,33.201793794465935,356528701440,66.40358758893187,43521362,8703609.435624957,2.0,69.951,123.647,157.951,19.99842729579477,99.999753,2.297705551523072,11316.8203125,426722.8960049439,452873.30409697903
main,ablate-r1-control_after-v2-d20-k16-v4096,27,1,control_after,20,16,4096,2560,49800869,5.000427433,9959322.411388747,37.991799970202436,407968718848,75.98359994040487,49800123,9959173.224142257,2.0,262.911,325.887,422.655,19.998436401666712,100.00073000000003,2.008011747746812,11316.8203125,437162.8284361506,737689.7374124938
main,ablate-r1-control_before-v2-d20-k16-v65536,28,1,control_before,20,16,65536,160,5560004,5.00047534,1111895.0943571695,67.86469081769833,387154198528,72.10623399380448,5560004,1111895.0943571695,1.0625,140.543,263.935,394.751,19.998467185721587,100.00184200000001,17.98592986623751,10390.70703125,54010.065371105295,56138.26304760858
