engine,disks,key_bytes,value_bytes,clients,repeat,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,p50_us,p99_us,p999_us,cpu_cores,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
foyer,20,16,1024,640,2,735524.7748222725,0.7014510868284917,2.805128288179321,735338.778443055,601.599,3698.687,5300.223,42.07872698406867,57.20912255367103,589.609375,3.9990361991771914,36543.20501390436,37004.30857781644
foyer,20,16,1024,640,3,738457.1988086272,0.7042476642690918,2.8163192422074896,738271.6236441772,581.631,4202.495,7229.439,41.903230326760635,56.74429119841236,589.609375,3.9990466210923477,36678.90135421188,37146.52684916319
foyer,20,16,1024,2560,1,732940.1722413878,0.6989862177289846,2.7931768164395665,732205.0450906078,1380.351,24002.559,27541.503,42.197942844164444,57.57351615087473,1064.64453125,3.9960399012081163,36447.267738315095,36872.90932682855
foyer,20,16,1024,2560,2,731774.5560946531,0.6978745995470553,2.7888487677144767,731071.0790983409,1456.127,32391.167,40173.567,42.04534257027617,57.45668829299623,1064.64453125,3.9962032856970806,36394.06623477,36812.79313229397
foyer,20,16,1024,2560,3,731934.4103920165,0.698027048484818,2.789382822652571,731212.8539402677,1278.975,32817.151,38010.879,42.028000079161636,57.4204457154185,1064.64453125,3.996095607910013,36352.60709920573,36824.28756328048
foyer,20,16,4096,160,1,711135.7216262365,2.7127674927758654,5.425222375150174,711090.3498954291,198.527,579.071,788.991,39.990160434614026,56.23421692720469,539.17578125,1.9998847632897438,35397.94504839281,35767.11503430123
foyer,20,16,4096,160,2,705895.5178334631,2.6927777016962553,5.385230570046126,705846.9445790044,200.063,582.143,804.351,39.96274020409314,56.61282611164173,539.17578125,1.9998793686734038,35127.25813077171,35505.2499998304
foyer,20,16,4096,160,3,707722.7289950048,2.6997479591179077,5.399183295526092,707678.3548944899,199.423,582.655,805.375,40.055293439309516,56.59743823148038,539.98828125,1.9998842030017405,35215.44607526973,35604.81881312093
foyer,20,16,4096,640,1,732973.0605535121,2.79607032987027,5.590837029865419,732792.8312011022,612.351,3774.463,5488.639,42.465636230974695,57.93614870225427,619.21875,1.9995337635605248,36440.78186961445,36825.337537573905
foyer,20,16,4096,640,2,733387.2174225037,2.7976502129459524,5.593980148192693,733205.8021629452,601.599,3831.807,5521.407,42.34273240389817,57.73584730957283,632.7109375,1.999528076207275,36459.09042922845,36839.04686746973
foyer,20,16,4096,640,3,735023.5624357348,2.803892373793544,5.606480819766861,734843.0926978665,605.183,3715.071,5496.831,42.25513602034024,57.48813804051993,632.7109375,1.9995349579632893,36543.92675449641,36916.41948056005
foyer,20,16,4096,2560,1,731547.7275535904,2.790633115972864,5.575654364441653,730802.480045296,1316.863,33554.431,38862.847,42.608878520525565,58.24483750775399,1107.75390625,1.9979890342904791,36256.51866898099,36727.315781543744
foyer,20,16,4096,2560,2,732359.4392953302,2.7937295505345543,5.582127672692952,731650.1612425242,1346.559,36470.783,44695.551,42.54847784132163,58.09780765884768,1107.75390625,1.9980916447781651,36260.55552569853,36777.292657815284
foyer,20,16,4096,2560,3,731335.9736514228,2.7898253389412795,5.574044728863799,730591.1089339633,1178.623,38862.847,47677.439,42.409376183894246,57.9889103118396,1152.51171875,1.9979905734812462,36168.83572982338,36705.93696053926
foyer,20,16,4194304,160,1,21504.82965262137,84.00324083055223,83.7627713572724,707103.8826205047,6770.687,16293.887,19562.495,59.87001952124477,2784.0266809063887,10410.7109375,0.9971373786189404,34138.91707353643,36669.6488840678
foyer,20,16,4194304,160,2,21525.804707990235,84.08517464058686,83.84479108323912,707831.4543347027,6758.399,16244.735,19595.263,59.86353209778549,2781.012506146381,10410.7109375,0.9971411897712619,34237.54658106393,36659.990949196654
foyer,20,16,4194304,160,3,21455.783815006842,83.81165552737048,83.56787417578323,705498.7407562453,6791.167,16367.615,19693.567,59.86093346067013,2789.967217082115,10410.7109375,0.9970913192198233,34137.25166009424,36582.91624112607
foyer,20,16,4194304,640,1,4571.123848206283,17.85595253205579,17.606882878699636,148897.9645840617,96141.311,695205.887,840957.951,9.442549446469394,2065.6953869614945,10921.56640625,0.9860511696080612,7012.658164385087,7929.903628398014
foyer,20,16,4194304,640,2,4074.1352356469756,15.914590764245998,15.663509782139045,132503.5652276262,124452.863,616562.687,900726.783,8.7421472994344,2145.7675785880338,10983.8203125,0.9842232209532502,6141.433860268565,7014.559424022029
foyer,20,16,4194304,640,3,3902.2003543577107,15.242970134209807,15.023876817117623,127028.14416070002,120651.775,738197.503,941096.959,8.631410587538019,2211.934243176174,11021.91015625,0.9856265993331266,5990.022787128454,6785.761807280108
foyer,20,16,4194304,2560,1,3725.807968181027,14.553937375707136,13.756233176894638,116205.10866187219,669515.775,1421869.055,1684013.055,8.844153140316836,2373.7544220870386,15368.10546875,0.9451898013424193,5489.856869540672,6257.509302105064
foyer,20,16,4194304,2560,2,3951.5911300431417,15.435902851731022,14.564568751203893,123004.11073478594,600309.759,1431306.239,1609564.159,8.80972529686643,2229.4121549893875,17999.4609375,0.9435514651202008,5799.617183561637,6648.03470590901
foyer,20,16,4194304,2560,3,3801.5185184992197,14.849681712887577,14.01593141271775,118381.40375560259,639631.359,1465909.247,1780482.047,8.67720170599581,2282.5619982568005,17999.4609375,0.9438539952377403,5547.68141247292,6391.901383483274
