repeat,cpu_system_s,cpu_user_s,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,seconds,verified_reads,workload,device_read_bytes_per_op,device_write_amplification,cpu_percent
2,0.28731100000000004,0.58479,0,0,1030791168,83886,True,v2,0.5733602669531733,0,5368704,6156408.988474272,,,,536870400,write,64,0.872051225,True,100,0.0,1.92,100.0057078069009
2,0.37723599999999996,0.159234,1249632256,180021,0,0,True,v2,0.001164755058984864,7817,125065,12506.462215476355,69.038,135.747,132.557,12506500,read,1,10.000030212,True,100,9991.862279614601,0.0,5.364683792217327
2,5.280524,4.714609,37188358144,5354500,0,0,True,v2,0.03468831261608978,232793,3724682,372462.92059882457,149.657,354.183,301.914,372468200,read,64,10.000141743,True,100,9984.304202076848,0.0,99.94991327994418
2,0.012015000000000012,0.126897,0,0,738201600,8193,True,legacy,3.601781971545433,0,524288,3776742.132595224,,,,536870912,write,64,0.138820174,True,1024,0.0,1.3750076293945312,100.06614744626386
2,0.21661299999999997,0.18787500000000001,708980736,173091,0,0,True,legacy,0.016507237919893204,10819,173091,17309.093509089937,55.968,64.458,63.769,177245184,read,1,10.00000375,True,1024,4096.0,0.0,4.044878483170568
2,3.884042,5.694887,30462472192,7437049,0,0,True,legacy,0.7092498291523244,464821,7437127,743702.3488532277,80.798,172.677,139.967,7615618048,read,64,10.000139184,True,1024,4096.0,0.0,95.78795678490228
2,0.040111,0.058032,0,0,603979776,8192,True,v2,5.098679901806359,0,524288,5346353.376716505,,,,536870912,write,64,0.098064599,True,1024,0.0,1.125,100.0799483205963
2,0.291651,0.16571,1025863680,165657,0,0,True,v2,0.008086914408398902,5300,84798,8479.744362701287,118.807,136.888,133.607,86833152,read,1,10.000065612,True,1024,12097.734380527843,0.0,4.573579991826958
2,5.832667000000001,4.112088999999999,37505667072,6055761,0,0,True,v2,0.29570906822928267,193800,3100797,310073.4319275883,204.296,356.822,298.264,3175216128,read,64,10.000202148,True,1024,12095.492569168508,0.0,99.44554972810135
2,0.009012000000000006,0.052295,0,0,578818048,6145,True,legacy,8.083795459668377,0,131072,2119118.476979307,,,,536870912,write,64,0.061852134,True,4096,0.0,1.0781326293945312,99.11864964917784
2,0.18110600000000002,0.009069999999999995,6755758080,73012,0,0,True,legacy,0.016782241510144572,2750,43995,4399.363918435339,234.855,1920.53,465.501,180203520,read,1,10.000309321,True,4096,153557.40606887147,0.0,1.901701176389042
2,2.99745,0.41969900000000004,124137689088,1340592,0,0,True,legacy,0.3086597764696698,50578,809235,80913.30844286512,606.068,4558.178,3050.698,3314626560,read,64,10.001259565,True,4096,153401.28527312833,0.0,34.167186420783594
2,0.023792,0.032628,0,0,553648128,6144,True,v2,8.393658557385262,0,131072,2200347.228867202,,,,536870912,write,64,0.05956878,True,4096,0.0,1.03125,94.71404316153527
2,0.32797,0.14250600000000002,1018920960,165840,0,0,True,v2,0.03163143651039102,5183,82920,8291.991292579944,122.987,135.127,132.968,339640320,read,1,10.000010501,True,4096,12288.0,0.0,4.704755059536712
2,5.971997,3.962487,37396070400,6086481,0,0,True,v2,1.1609087062339307,190207,3043300,304325.25188698753,205.276,343.273,294.644,12465356800,read,64,10.000156021,True,4096,12288.0,0.0,99.34329003605453
2,0.00915400000000001,0.038063999999999994,0,0,537399296,4225,True,legacy,7.646453674189808,0,128,1957.4921405925909,,,,536870912,write,64,0.06538979,True,4194304,0.0,1.0009841918945312,72.21004991757887
2,0.359356,1.256866,46211788800,363231,0,0,True,legacy,4.299246447232362,688,11007,1100.6070904914848,864.393,2509.749,2134.966,46166704128,read,1,10.000844166,True,4194304,4198400.0,0.0,16.16085575550403
2,0.947368,3.6864849999999993,119813939200,941754,0,0,True,legacy,11.144253796758885,1784,28538,2852.9289719702747,5450.609,12463.706,10500.566,119697047552,read,16,10.003053101,True,4194304,4198400.0,0.0,46.32438669686513
2,2.499847,3.9889970000000012,124453171200,978219,0,0,True,legacy,11.562472766033347,1853,29643,2959.9930281045367,21087.761,38703.513,33772.273,124331753472,read,64,10.014550615,True,4194304,4198400.0,0.0,64.79416051161475
2,0.015986,0.039047,0,0,537395200,4224,True,v2,8.40524864070319,0,128,2151.7436520200167,,,,536870912,write,64,0.05948664,True,4194304,0.0,1.0009765625,92.51320968876374
2,1.08808,1.245273,45674393600,359007,0,0,True,v2,4.249235764344808,680,10879,1087.804355672271,881.642,2470.689,1888.611,45629833216,read,1,10.000879242,True,4194304,4198400.0,0.0,23.331478598409415
