run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
split-r3-foyer-d20-k16-v100,foyer,20,16,100,640,1,3025444,5.001078535,604958.3062586319,0.05634113273198081,2.3073041171984476,604832.933302456,3024817,12389916672,1023.999,2025.471,2480.127,52.354178437231845,261.82735800000006,86.54179617933767,586.328125,40.95239135809488,29527.63068336818,31313.845384353674
split-r3-foyer-d20-k16-v1024,foyer,20,16,1024,640,1,3050084,5.00094698,609901.2871358217,0.5816471930845467,2.3261318581434858,609770.7118662554,3049431,12490690560,1011.711,2001.919,2398.207,52.95897398216368,264.84502100000003,86.83204167491782,584.6328125,3.9992144478643867,29020.703594821953,31760.184748049458
split-r3-foyer-d20-k16-v4096,foyer,20,16,4096,640,1,3136923,5.00088944,627273.0156577907,2.392856657630122,4.784750656915768,627139.2394549719,3136254,25692504064,985.599,1919.999,2289.663,53.02407085408393,265.1675160000001,84.53108858585311,658.59375,1.999597694938639,30167.833504433565,32557.008498872154
split-r3-foyer-d20-k16-v4194304,foyer,20,16,4194304,640,1,42186,5.086921352,8293.031694585554,32.39465505697482,32.04196520674158,270576.81940744893,1376403,175014502400,72286.207,186122.239,244842.495,15.717695334244677,79.95468000000002,1895.2894325131567,15315.05859375,0.9891127147483763,11994.091470671512,15995.33280930505
split-r3-foyer-d20-k16-v65536,foyer,20,16,65536,640,1,3256515,5.001008472,651171.6623222709,39.74436415541204,42.10109935589131,649208.8582088689,3246699,226074144768,954.879,1717.247,2042.879,54.06590760920432,270.38406200000003,83.02865547986114,896.3828125,1.059297343172072,30692.80943221726,33663.01035932339
split-r3-v1-d20-k16-v100,v1,20,16,100,640,1,49910017,5.000409946,9981185.050622646,0.9295702959059409,38.075199320307334,9980175.133424949,49904967,204431429632,61.759,112.319,146.815,19.998202763353998,99.99921200000003,2.0035900208168638,11264.99609375,40.96,492127.05089679855,513409.9059325405
split-r3-v1-d20-k16-v1024,v1,20,16,1024,640,1,49943887,5.000455133,9987868.23831302,9.525173414528865,38.10069365811546,9987733.25060049,49943212,204570161152,61.695,107.199,136.703,19.998061244478325,99.999408,2.002235188462604,11264.99609375,4.0,492280.5893717035,516383.1953934262
split-r3-v1-d20-k16-v4096,v1,20,16,4096,640,1,43544957,5.000367505,8708351.32746908,33.21972399699814,66.43944799399628,8708307.530688187,43544738,356720287744,69.887,123.583,157.951,19.998463292949502,99.99966599999999,2.2964695085127764,11264.99609375,2.0,426250.2701788916,452707.1255735632
split-r3-v1-d20-k16-v4194304,v1,20,16,4194304,640,1,294093,5.008530246,58718.423480595666,229.36884172107682,229.59283473057005,1937707.974859657,9705069,1234720051200,10321.919,21004.287,26296.319,19.96963262423713,100.01850900000001,340.091430261856,10325.03515625,1.0009765625,94825.42316267366,98271.34425175637
split-r3-v1-d20-k16-v65536,v1,20,16,65536,640,1,15353078,5.000821471,3070111.1985367252,187.3847167075638,199.09626150178653,3070111.1985367252,15353078,1069065527296,183.295,550.911,824.319,19.99749712720748,100.003913,6.513606782952578,10371.2890625,1.0625,151761.06653698217,154617.39725841134
split-r3-v2-d20-k16-v100,v2,20,16,100,640,1,50081501,5.000407703,10015483.531463556,0.9327645908541563,38.206037641386246,10014676.797245147,50077467,205133828096,62.047,112.383,146.815,19.998117941464184,99.99874299999999,1.996720166194699,11314.5390625,40.96,490223.6268713308,516387.4934539513
split-r3-v2-d20-k16-v1024,v2,20,16,1024,640,1,49825737,5.000440549,9964269.450211596,9.502667856418224,38.010671425672896,9964136.061964408,49825070,204086218752,61.823,107.391,137.087,19.99812816892666,99.999451,2.006983880639839,11314.35546875,4.0,490260.20327154174,515127.81219149334
split-r3-v2-d20-k16-v4096,v2,20,16,4096,640,1,43440199,5.000367325,8687401.580042923,33.13980705277604,66.27961410555208,8687351.383730594,43439948,355862110208,70.079,123.839,158.079,19.998372619555507,99.99920900000001,2.3019970281443696,11315.77734375,2.0,426519.865718065,453563.0789884021
split-r3-v2-d20-k16-v4194304,v2,20,16,4194304,640,1,298603,5.007802107,59627.55588576616,232.92014017877406,233.14760125316738,1967709.344230283,9853899,1253654835200,10280.959,18759.679,24575.999,19.99336312831661,100.12280600000003,335.3040860272671,10338.4296875,1.0009765625,98298.81242949044,98443.78620930198
split-r3-v2-d20-k16-v65536,v2,20,16,65536,640,1,15338587,5.000676701,3067302.2706972235,187.21327335798483,198.91410294285888,3067302.2706972235,15338587,1068056489984,183.295,551.935,827.391,19.997810292355474,100.00258400000001,6.519673813500553,10389.9921875,1.0625,151086.95186171765,154219.32792531472
