engine,disks,key_bytes,value_bytes,clients,samples,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,p50_us,p99_us,p999_us,cpu_cores,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops,min_ops_per_second,max_ops_per_second
foyer,20,16,128,640,3,588035.3813636141,0.07009928004307915,2.242627579725183,587883.7948957755,615.423,5885.951,9510.911,40.35057881692343,68.66541154111856,568.51953125,31.992162806051468,29207.38581635371,29621.11130084894,587473.9242399833,588516.6442607703
foyer,20,16,128,2560,3,585245.8998230044,0.06976674793040805,2.230346061116468,584665.309917933,1161.215,29573.119,34340.863,40.35461410660063,68.91331762962578,1085.0,31.96875035877792,29088.04878403532,29407.91722577318,584437.8273795113,585853.8735220005
foyer,20,16,4096,160,3,756529.892409299,2.8859325119373285,5.771523380228609,756481.5141072191,185.087,565.247,780.287,41.16054246979023,54.41427950826906,469.5,1.9998790722997148,37663.30781059775,38027.34453823241,755243.6237172366,757069.0124456509
foyer,20,16,4096,640,3,766196.8638725096,2.9228090815449126,5.844185633449837,765998.9337522361,447.487,5259.263,7749.631,43.31443273366959,56.53172804016703,600.1640625,1.999515636621104,38086.49908509931,38483.95392883084,764493.1266068842,766659.4373565258
foyer,20,16,4096,2560,3,760776.1627191788,2.9021307476775315,5.798656450332204,760031.4235369093,609.279,27394.047,31883.263,43.13950464518953,56.67419950550241,1136.17578125,1.9980686448991505,37693.08716967513,38228.03510219131,760413.6304993326,762089.5858304421
foyer,20,256,65536,160,3,700616.483245644,42.76223652622339,45.39177471338265,699891.8792725834,205.183,545.791,735.231,42.22566487533229,60.269299802539045,229.59765625,1.0614920640445626,34132.54511005093,35827.41878938356,698053.1586641523,701028.4194864264
foyer,20,256,65536,640,3,718588.4707905526,43.859159594149936,46.41784348875817,715668.4062444984,371.711,6619.135,9068.543,43.51072788980843,60.55027273390603,484.734375,1.0584028427797514,35062.68338723953,36503.09949600322,717142.7016605859,719086.3613045566
foyer,20,256,65536,2560,3,720299.0582105919,43.96356556461132,45.996873903541356,709162.6808611642,524.799,20135.935,23511.039,43.67535729477101,60.63492356580261,1471.29296875,1.0462172374714584,33562.57757261108,36498.61186673318,719557.0708098916,721082.3239827265
foyer,20,4096,262144,160,3,345441.9022803517,84.33640192391398,86.64463374163073,344094.0300805778,388.351,1415.167,2088.959,47.99902495732272,140.41343544275944,539.1875,1.0273693418863088,16288.15440227782,17807.257920641412,317022.2710502913,348667.1517117804
foyer,20,4096,262144,640,3,452338.53159317747,110.43421181474059,112.16251535156943,445474.8123107242,491.007,7483.391,10387.455,48.56722213185714,107.36919085977257,921.87890625,1.0155780852088065,21494.016849155887,23215.919276175784,437653.3218935981,459792.8410431993
foyer,20,4096,262144,2560,3,589022.4204538615,143.80430186861852,139.51105964517126,554029.372707079,3989.503,11943.935,14934.015,56.26182226884063,95.55763087423955,2264.9375,0.9701754917014384,26534.123190911494,29358.317307283687,587818.1025431987,594704.573479742
