run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
matrix-r1-v2-d20-k16-v4096,v2,20,16,4096,160,1,12539759,5.000282383,2507810.167408299,9.566536588319012,19.133073176638025,2507809.3674534783,12539755,102725705728,61.535,96.895,115.199,19.998508552231893,99.99818999999998,7.974490578327701,11316.3203125,2.0,125046.53779670347,125662.10303167193
matrix-r1-v2-d20-k16-v4096,v2,20,16,4096,640,1,43516092,5.000436851,8702458.064498413,33.19724298285833,66.39448596571665,8702409.868709289,43515851,356483825664,69.951,123.647,157.823,19.99814135838989,99.999443,2.297987673157783,11316.3203125,2.0,426326.15179885214,452712.0464579586
matrix-r1-v2-d20-k16-v4096,v2,20,16,4096,2560,1,49512767,5.000425281,9901711.198071994,37.77203063229368,75.54406126458736,9901562.410727281,49512023,405608587264,262.911,331.519,424.959,19.998386213262563,100.00043599999998,2.0196899114929283,11316.3203125,2.0,434714.4248429377,724541.7732300278
matrix-r1-v2-d20-k16-v4194304,v2,20,16,4194304,160,1,278796,5.002630162,55729.88427522298,217.69486045008978,217.90745308724806,1839086.1810823584,9200268,1170497126400,2723.839,6090.751,7245.823,19.96892949609174,99.89716899999999,358.31636393635483,10333.3203125,1.0009765625,91375.13371910942,92529.52647111953
matrix-r1-v2-d20-k16-v4194304,v2,20,16,4194304,640,1,294678,5.009126583,58828.21987371606,229.79773388170335,230.0221457311972,1941331.25583263,9724374,1237176115200,10280.959,21299.199,27918.335,19.991624156566054,100.14057599999997,339.8305133060492,10333.3203125,1.0009765625,95183.06077912106,98292.58491310122
matrix-r1-v2-d20-k16-v4194304,v2,20,16,4194304,2560,1,288880,5.017710519,57572.07373883578,224.89091304232727,225.11053307459517,1899878.433381581,9533040,1212833792000,43941.887,58949.631,65110.015,19.95277220973537,100.11723500000005,346.5703233176407,10333.3203125,1.0009765625,89732.55796544686,98433.53819032859
matrix-r1-v2-d20-k16-v65536,v2,20,16,65536,160,1,5539013,5.001413401,1107489.534636851,67.59579679179998,71.82053409128748,1107489.534636851,5539013,385692553216,140.671,274.431,441.599,19.995066790520646,100.003595,18.054406985504457,10390.76171875,1.0625,54748.12378941759,56250.299154185035
matrix-r1-v2-d20-k16-v65536,v2,20,16,65536,640,1,15302262,5.000590457,3060091.0295661907,186.77313412879582,198.44645501184556,3060091.0295661907,15302262,1065527107584,183.551,556.543,858.111,19.99839976097446,100.00380699999998,6.535230346990529,10390.76171875,1.0625,151662.48996423263,154525.55186124492
matrix-r1-v2-d20-k16-v65536,v2,20,16,65536,2560,1,17933403,5.002145403,3585142.284997268,218.8197195432903,232.4959520147459,3585142.284997268,17933403,1248738717696,454.143,3676.159,5971.967,19.99564965464879,100.02114699999998,5.5773657124640525,10390.76171875,1.0625,178605.16398907246,179747.07401763226
matrix-r2-foyer-d20-k16-v100,foyer,20,16,100,640,1,2948327,5.001044529,589542.241206467,0.05490539979249863,2.248500306982851,589420.466645879,2947718,12074065920,1050.623,2079.743,2488.319,52.52485665280108,262.67914700000006,89.09430568590257,586.0078125,40.952261808137294,28415.463844793136,30940.73630073051
